X,Y
47.65133,-122.30839
47.65142,-122.30802
47.65152,-122.3082
47.65138,-122.30802
47.65144,-122.30778
47.65149,-122.30785
47.65151,-122.30781
47.65135,-122.30776
47.65141,-122.30768
47.65137,-122.30774
47.65135,-122.30775
47.6514,-122.30774
