X,Y
47.65303,-122.30811
47.65293,-122.30819
47.65301,-122.30822
47.65301,-122.30818
47.65304,-122.30815
47.65304,-122.30819
47.65303,-122.30821
47.65301,-122.30821
47.65302,-122.3082
47.653,-122.30816
47.65302,-122.30818
47.65303,-122.30814
